ep	i	j	time	x	y	z	phi	theta	psi	x_velocity	y_velocity	z_velocity	phi_velocity	theta_velocity	psi_velocity	rotor_speed1	rotor_speed2	rotor_speed3	rotor_speed4	r
20	2	33	2.0400000000000014	1.7536314009	3.1475207598	140.544476485	1.81052322093	4.78453335816	0.0	0.702827167337	4.89254117302	-14.9955551232	-6.8249907404	-8.94696684417	0.0	478.408	390.347	455.912	402.784	0.936647912191
20	2	34	2.1000000000000014	1.81585044546	3.44387056137	139.634362389	1.40106667397	4.24830957803	0.0	1.36979580765	4.90412774335	-15.3168128333	-6.82281582858	-8.92315604414	0.0	478.054	390.547	455.562	402.993	0.93757218064
20	2	35	2.1600000000000015	1.91504843772	3.72549936496	138.705009042	0.991812916563	3.7136074412	0.0	1.8999551294	4.43237649946	-15.7011995203	-6.81775903988	-8.8965192847	0.0	477.418	390.619	455.341	403.086	0.941764392552
20	2	36	2.2200000000000015	2.03672838124	3.97445597356	137.743968363	0.582922331159	3.18050618212	0.0	2.10288958733	3.90003284808	-16.3616767615	-6.80980743006	-8.86950581453	0.0	476.936	390.692	454.893	402.961	0.940744218184
20	2	37	2.2800000000000016	2.16313950696	4.20041321891	136.741177294	0.174630051669	2.64898878963	0.0	2.11045519469	3.67199283632	-17.0626439274	-6.79690161002	-8.84376668649	0.0	476.808	390.972	454.083	402.634	0.937448059791
20	2	38	2.3400000000000016	2.29016084807	4.41895985358	135.69199328	6.05042172648	2.11889921165	0.0	2.09936317732	3.64223783488	-17.9717043518	-6.77925466968	-8.82212051427	0.0	476.948	391.303	453.322	402.449	0.935434476973
20	2	39	2.4000000000000017	2.40622088272	4.64265291237	134.578895694	5.64775884537	1.59029702277	0.0	1.69395100876	3.83689184662	-19.1212704715	-6.67309910608	-8.7939395111	0.0	477.617	393.27	451.758	409.447	0.932839224517
20	2	40	2.4600000000000017	2.48810239732	4.87631795003	133.403534193	5.25142613636	1.06422624135	0.0	1.04457941738	3.89167330759	-20.0171483657	-6.56757975876	-8.74138253937	0.0	474.744	392.691	447.836	406.63	0.924021148869
20	2	41	2.520000000000002	2.5363749596	5.10054967245	132.177276899	4.86073914572	0.540624275178	0.0	0.600584172543	3.53003368008	-20.8890493788	-6.47480292246	-8.7082867706	0.0	475.593	392.887	446.957	406.103	0.916767476633
20	2	42	2.580000000000002	2.56468107261	5.29512180035	130.890110781	4.47535730907	0.0187272646651	0.0	0.381517189398	2.94990423792	-22.0702555216	-6.38722138703	-8.68456507389	0.0	476.012	393.198	445.748	405.743	0.911756446461
20	2	43	2.640000000000002	2.58874843085	5.46072178758	129.524195913	4.09524712341	5.78130629449	0.0	0.455953309079	2.65409076611	-23.4532639161	-6.29918448215	-8.66533190089	0.0	476.254	393.702	443.872	405.194	0.907592163697
20	2	44	2.700000000000002	2.61973376669	5.62275475142	128.080892509	3.71903638744	5.26395270962	0.0	0.561939673176	2.7569876633	-24.6275262597	-6.24182743406	-8.58935116353	0.0	473.391	396.311	441.954	401.483	0.908120898399
20	2	45	2.760000000000002	2.65895464407	5.78756183573	126.566375939	3.34657240201	4.75069180262	0.0	0.81489599236	2.70789005577	-25.9055122051	-6.17707410151	-8.52383658031	0.0	473.216	396.684	440.393	401.354	0.908618593394
20	2	46	2.820000000000002	2.72838696141	5.94827965152	124.969582619	2.97842956569	4.24115652832	0.0	1.53421225708	2.67679235496	-27.2918735412	-6.10217055917	-8.46282976337	0.0	472.956	397.18	438.492	401.128	0.913327974287
20	2	47	2.880000000000002	2.83626950276	6.11365645786	123.297205947	2.61525809562	3.73540245363	0.0	1.95593060552	2.88431315606	-28.4302016219	-6.01739352076	-8.39921736268	0.0	472.282	397.847	436.412	400.878	0.923965323021
20	2	48	2.940000000000002	2.95155771548	6.30472242044	121.560633947	2.25753648562	3.23343367976	0.0	1.86711163486	3.55881449995	-29.4028916765	-5.92536895609	-8.33633680266	0.0	471.644	398.327	434.853	401.121	0.929817766024
